Date,Open,High,Low,Close,Adj Close,Volume
6/25/2018,1909,1911.5,1885,1893.800049,1806.450562,3174077
6/26/2018,1892,1922.849976,1889.400024,1915.849976,1827.483398,2819929
6/27/2018,1922,1936,1895.650024,1904.849976,1816.990723,3309395
6/28/2018,1904,1913,1865.5,1878,1791.379272,4899708
6/29/2018,1889,1913,1873,1908.099976,1820.09082,4022628
7/2/2018,1912.900024,1915.349976,1879.300049,1897.099976,1809.598267,2283964
7/3/2018,1900,1900,1874.650024,1879.699951,1793.000732,1687705
7/4/2018,1883,1926.699951,1882.099976,1922.5,1833.82666,2609336
7/5/2018,1923.699951,1937.150024,1908.25,1931.050049,1841.982422,1945712
7/6/2018,1926.099976,1938.400024,1912.25,1916.849976,1828.437378,2550768
7/9/2018,1919,1922,1901,1904.900024,1817.038574,2377612
7/10/2018,1912,1947.599976,1904.550049,1942.550049,1852.952026,1847583
7/11/2018,1946,1961.800049,1920.300049,1928.099976,1839.168457,2224803
7/12/2018,1938,1979.900024,1935,1962.699951,1872.172607,2796172
7/13/2018,1968,1978.349976,1943.449951,1972.5,1881.52063,2465425
7/16/2018,1979.949951,1997.5,1973,1991.199951,1899.358032,3693133
7/17/2018,1991,1998,1968,1989.300049,1897.545654,2171225
7/18/2018,2005,2025,1998.800049,2009.449951,1916.766235,2796940
7/19/2018,2003,2005.050049,1977,1988.400024,1912.390381,1385205
7/20/2018,1980.5,1982,1957.099976,1973.849976,1898.396484,1467884
7/23/2018,1969,1988,1959.550049,1966.849976,1891.66394,1254416
7/24/2018,1967.099976,1982.800049,1962.150024,1975.550049,1900.031494,1628220
7/25/2018,1988.449951,2011.849976,1984.199951,2000.849976,1924.364258,2503749
7/26/2018,2004.300049,2034.099976,1991,2023.400024,1946.052368,3909895
7/27/2018,2032,2049.949951,2023.25,2047.25,1968.990723,1956967
7/30/2018,2047,2052.949951,2013.800049,2028.75,1951.197754,2176046
7/31/2018,2018.599976,2018.599976,1971,1994.849976,1918.593628,3581217
8/1/2018,1995,1995.199951,1959.650024,1970.150024,1894.837891,3415429
8/2/2018,1962,1966.5,1927.349976,1931.949951,1858.0979,2595747
8/3/2018,1945,1980,1941,1977.5,1901.906982,2346246
8/6/2018,1999,1999,1965.050049,1979.300049,1903.638184,2219237
8/7/2018,1982,1992.900024,1968.550049,1978.599976,1902.964844,1680478
8/8/2018,1976,1989.75,1953.400024,1984.599976,1908.735596,1507070
8/9/2018,1988,1988.699951,1961.349976,1969.949951,1894.645386,1789926
8/10/2018,1969.949951,1980,1951.300049,1974.300049,1898.829224,1737395
8/13/2018,1967,1967.349976,1939.199951,1947,1872.572998,1195249
8/14/2018,1956,1970.650024,1937.800049,1941.5,1867.282959,1761582
8/16/2018,1936.5,1936.5,1888.550049,1891.199951,1818.905762,3850598
8/17/2018,1897,1903,1881,1885.650024,1813.568115,2387431
8/20/2018,1894.75,1923.550049,1891.300049,1920.050049,1846.653076,1815999
8/21/2018,1915.050049,1931.800049,1906.550049,1913.349976,1840.209106,1602054
8/23/2018,1954.949951,1954.949951,1900.5,1906.300049,1833.428711,2900920
8/24/2018,1904,1921.650024,1901,1919.050049,1845.691162,1594287
8/27/2018,1926.900024,1935,1916.699951,1924.849976,1851.269531,1366731
8/28/2018,1927.199951,1958.949951,1926,1955.150024,1880.411255,2013110
8/29/2018,1959.400024,1971.400024,1944.699951,1956.25,1881.469116,2367281
8/30/2018,1950,1964.449951,1928.25,1934.150024,1860.213989,2466442
8/31/2018,1940.900024,1942.449951,1908.050049,1935.949951,1861.94519,3856093
9/3/2018,1950,1950,1928.099976,1944.800049,1870.456909,2310201
9/4/2018,1939,1959.650024,1939,1954.800049,1880.074585,2928533
9/5/2018,1950,1965,1923.050049,1937.400024,1863.339844,3587932
9/6/2018,1949,1960.599976,1928.449951,1956.150024,1881.373047,4311847
9/7/2018,1963.5,1963.5,1915.050049,1920,1846.604858,2253314
9/10/2018,1915,1916,1878.25,1883.550049,1811.548218,2191420
9/11/2018,1890,1892.550049,1860.449951,1868.050049,1796.640747,4062178
9/12/2018,1878.900024,1886.75,1856.550049,1877.800049,1806.018066,2641076
9/14/2018,1892,1928.949951,1882.099976,1925.449951,1851.846558,3521562
9/17/2018,1910,1910,1871,1878.849976,1807.027954,2164001
9/18/2018,1877.25,1888.75,1847.050049,1855.699951,1784.762939,2905388
9/19/2018,1860.400024,1864,1824.150024,1830.650024,1760.67041,4046901
9/21/2018,1835.650024,1875,1783,1839.400024,1769.08606,6425727
9/24/2018,1839,1846.25,1702.800049,1718.699951,1652.999878,9026730
9/25/2018,1728.800049,1784,1713.800049,1773.349976,1705.560669,7202463
9/26/2018,1783.599976,1806.300049,1756.099976,1767.449951,1699.886353,4044415
9/27/2018,1767.150024,1768.75,1726.150024,1729,1662.90625,5971180
9/28/2018,1742,1773.5,1736,1754.5,1687.431396,6882950
10/1/2018,1765.699951,1817.099976,1753.099976,1806.349976,1737.299438,2700216
10/3/2018,1804.800049,1819.449951,1785.650024,1797.550049,1728.835938,3808517
10/4/2018,1780,1797.949951,1742.349976,1778.449951,1710.46582,4280606
10/5/2018,1768.699951,1775,1683.75,1708.650024,1643.333984,4109132
10/8/2018,1695.800049,1708.550049,1646.550049,1667.699951,1603.949463,4939555
10/9/2018,1682.699951,1734,1671.599976,1712.75,1647.277344,3082730
10/10/2018,1717.400024,1768,1716.650024,1736.949951,1670.552368,2358736
10/11/2018,1690,1724.099976,1675.699951,1684.550049,1620.155396,3267234
10/12/2018,1705.900024,1741.5,1694.5,1730.300049,1664.156494,2731113
10/15/2018,1755,1765.5,1703.650024,1732.900024,1666.657227,2996773
10/16/2018,1735,1773.699951,1713.150024,1756.25,1689.114502,3427228
10/17/2018,1772,1775,1729.5,1737.800049,1671.369873,3584746
10/19/2018,1725,1760.949951,1651.699951,1660.25,1596.78418,5363667
10/22/2018,1683.900024,1689.699951,1649.449951,1658.300049,1594.908813,4632839
10/23/2018,1645,1710,1644.5,1686.75,1622.271362,3734275
10/24/2018,1715,1748.5,1706.599976,1741.449951,1674.880127,3598576
10/25/2018,1729.75,1740,1685.050049,1694.449951,1629.67688,4435395
10/26/2018,1694,1719.849976,1675.5,1702.099976,1637.034424,2780124
10/29/2018,1705,1710,1653.050049,1698.400024,1633.47583,5326330
10/30/2018,1703,1710,1663.199951,1671.900024,1607.988892,2073955
10/31/2018,1678,1774.5,1677.099976,1769.25,1701.617676,6450539
11/1/2018,1776.800049,1794.900024,1748.25,1762,1694.644653,5142502
11/2/2018,1790,1836.900024,1765.5,1824.400024,1754.659424,3701701
11/5/2018,1811.25,1824.400024,1773.349976,1792.900024,1724.363525,3291569
11/6/2018,1801.400024,1814,1783.099976,1805.900024,1736.866577,2033692
11/7/2018,1813.550049,1819,1807.650024,1815.849976,1746.436279,124505
11/9/2018,1820,1832.699951,1780,1816.099976,1746.676636,4002556
